RESOLUCAO;EMPRESA;AUTORIZACAO;MARCA;PROCESSO;REGISTRO;VENDA E EMPREGO;VENCIMENTO;APRESENTACAO;VALIDADE PRODUTO;CATEGORIA;ASSUNTO PETICAO;EXPEDIENTE PETICAO;VERSAO
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.011-0;PRODUTO DE VENDA LIVRE;03/2028;FRASO DE PLÁSTICO TRANSPARENTE;24 Meses;3205061 DESINFETANTE PARA USO GERAL;331 REG. SANEANTES - Nova versão de Produto;1931186/21-9;FLORAL
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.011-0;PRODUTO DE VENDA LIVRE;03/2028;FRASO DE PLÁSTICO TRANSPARENTE;24 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1897959/21-4;FLORAL
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.012-9;PRODUTO DE VENDA LIVRE;03/2028;GALÃO PLÁSTICO;24 Meses;3205061 DESINFETANTE PARA USO GERAL;331 REG. SANEANTES - Nova versão de Produto;1931186/21-9;FLORAL
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.012-9;PRODUTO DE VENDA LIVRE;03/2028;GALÃO PLÁSTICO;24 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1897959/21-4;FLORAL
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ATCLLOR QUIMICA DO BRASIL LTDA;3.06753-5;TEDOX CLORO MULTI AÇÃO;25351.295079/2021-21;3.6753.0026.001-2;PRODUTO DE VENDA LIVRE;07/2031;BALDE PLASTICO;24 Meses;3205045 DESINFETANTE PARA PISCINAS;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ATCLLOR QUIMICA DO BRASIL LTDA;3.06753-5;TEDOX CHOQUE;25351.295131/2021-49;3.6753.0027.001-8;PRODUTO DE VENDA LIVRE;07/2031;FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO;24 Meses;3210014 ALGICIDA;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ATL HIGIENE PROFISSIONAL EIRELI - EPP;3.01908-9;GR 500 MASTER - DESINCRUSTANTE ALCALINO;25351.552547/2010-83;3.1908.0060.001-9;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;12/2025;BOMBONA PLASTICA + CAIXA DE PAPELAO;12 Meses;3222030 DESINCRUSTANTE ALCALINO;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1990630/21-9;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ATL HIGIENE PROFISSIONAL EIRELI - EPP;3.01908-9;GR 500 MASTER - DESINCRUSTANTE ALCALINO;25351.552547/2010-83;3.1908.0060.002-7;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;12/2025;TAMBOR PLASTICO;12 Meses;3222030 DESINCRUSTANTE ALCALINO;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1990630/21-9;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ATL HIGIENE PROFISSIONAL EIRELI - EPP;3.01908-9;ATLABIO CL SANITIZANTE ALCALINO CLORADO;25351.689953/2008-10;3.1908.0042.001-0;PRODUTO DE VENDA LIVRE;01/2029;FRASCO + CAIXA DE PAPELAO;4 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1990334/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ATL HIGIENE PROFISSIONAL EIRELI - EPP;3.01908-9;ATLABIO CL SANITIZANTE ALCALINO CLORADO;25351.689953/2008-10;3.1908.0042.002-9;PRODUTO DE VENDA LIVRE;01/2029;GALAO PLASTICO + CAIXA DE PAPELAO;4 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1990334/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ATL HIGIENE PROFISSIONAL EIRELI - EPP;3.01908-9;ATLABIO CL SANITIZANTE ALCALINO CLORADO;25351.689953/2008-10;3.1908.0042.003-7;PRODUTO DE VENDA LIVRE;01/2029;BOMBONA PLASTICA;4 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1990334/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ATL HIGIENE PROFISSIONAL EIRELI - EPP;3.01908-9;ATLABIO CL SANITIZANTE ALCALINO CLORADO;25351.689953/2008-10;3.1908.0042.004-5;PRODUTO DE VENDA LIVRE;01/2029;TAMBOR PLASTICO;4 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1990334/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ATL HIGIENE PROFISSIONAL EIRELI - EPP;3.01908-9;ATLABIO CL-A - DETERGENTE SANITIZANTE ALCALINO CLORADO;25351.739142/2013-55;3.1908.0069.001-8;VENDA E EMPREGO:;04/2029;FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO;2 Meses;3222045 SANITIZANTE PARA INDÚSTRIA ALIMENTÍCIA;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1990541/21-6;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ATL HIGIENE PROFISSIONAL EIRELI - EPP;3.01908-9;ATLABIO CL-A - DETERGENTE SANITIZANTE ALCALINO CLORADO;25351.739142/2013-55;3.1908.0069.002-6;VENDA E EMPREGO:;04/2029;GALAO PLASTICO;2 Meses;3222045 SANITIZANTE PARA INDÚSTRIA ALIMENTÍCIA;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1990541/21-6;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ATL HIGIENE PROFISSIONAL EIRELI - EPP;3.01908-9;ATLABIO CL-A - DETERGENTE SANITIZANTE ALCALINO CLORADO;25351.739142/2013-55;3.1908.0069.003-4;VENDA E EMPREGO:;04/2029;BOMBONA PLASTICA OPACA;2 Meses;3222045 SANITIZANTE PARA INDÚSTRIA ALIMENTÍCIA;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1990541/21-6;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;BIO CARB INDÚSTRIA QUÍMICA LTDA;3.02068-4;Biogarden - Bio Carb;25351.011733/2021-53;3.2068.0057.001-2;PRODUTO DE VENDA LIVRE;07/2031;SACHE DE ALUMINIO + CAIXA DE PAPELAO;24 Meses;3206017 INSETICIDA DE VENDA LIVRE;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;BRILQUÍMICA INDÚSTRIA E COMÉRCIO DE PRODUTOS DE LIMPEZA LTDA ME;3.03971-9;DESINFETANTE DE USO GERAL EXALIMPO;25351.536400/2021-32;3.3971.0001.001-4;PRODUTO DE VENDA LIVRE,PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;ÚNICA + BOMBONA PLASTICA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA;24 Meses;3205061 DESINFETANTE PARA USO GERAL;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;CLARKE BRASIL PRODUTOS PARA CONTROLE DE MOSQUITO LTDA.;3.03727-7;NATULAR DT;25351.266921/2014-17;3.3727.0005.001-1;VENDA E EMPREGO:;06/2029;SACO PLASTICO + CAIXA DE PAPELAO;30 Meses;3206025 INSETICIDA PARA EMPRESAS ESPECIALIZADAS;396 REG. SANEANTES - Alteração (Inclusão Ou Exclusão) de Fabricante;1931113/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;CLARKE BRASIL PRODUTOS PARA CONTROLE DE MOSQUITO LTDA.;3.03727-7;NATULAR DT;25351.266921/2014-17;3.3727.0005.002-1;VENDA E EMPREGO:;06/2029;BLISTES + CAIXA DE PAPELAO;30 Meses;3206025 INSETICIDA PARA EMPRESAS ESPECIALIZADAS;396 REG. SANEANTES - Alteração (Inclusão Ou Exclusão) de Fabricante;1931113/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;CLEANNER DO BRASIL LTDA;3.03077-1;Cleanner AL 5000;25351.893756/2020-90;3.3077.0025.001-0;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;GALAO PLASTICO;12 Meses;3203018 DETERGENTE PROFISSIONAL DESINCRUSTANTE ÁCIDO;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;CLEANNER DO BRASIL LTDA;3.03077-1;Cleanner AL 5000;25351.893756/2020-90;3.3077.0025.002-9;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;BOMBONA PLASTICA;12 Meses;3203018 DETERGENTE PROFISSIONAL DESINCRUSTANTE ÁCIDO;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;CLEANNER DO BRASIL LTDA;3.03077-1;Cleanner AL 5000;25351.893756/2020-90;3.3077.0025.003-7;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;TAMBOR PLASTICO;12 Meses;3203018 DETERGENTE PROFISSIONAL DESINCRUSTANTE ÁCIDO;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;DE SANGOSSE AGROQUÍMICA LTDA;3.02233-3;MAKI GR TECH;25351.238532/2009-14;3.2233.0086.001-1;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2029;SACHET + CAIXA DE PAPELAO;2 Ano(s);3207021 RATICIDA PARA EMPRESAS ESPECIALIZADAS;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1960623/21-4;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;DE SANGOSSE AGROQUÍMICA LTDA;3.02233-3;MAKI GR TECH;25351.238532/2009-14;3.2233.0086.002-1;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2029;SACO + CAIXA DE PAPELAO;2 Ano(s);3207021 RATICIDA PARA EMPRESAS ESPECIALIZADAS;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1960623/21-4;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;DE SANGOSSE AGROQUÍMICA LTDA;3.02233-3;MAKI GR TECH;25351.238551/2009-29;3.2233.0088.001-2;PRODUTO DE VENDA LIVRE;07/2029;SACHET + CAIXA DE PAPELAO;2 Ano(s);3207013 RATICIDA DE VENDA LIVRE;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1930555/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;DE SANGOSSE AGROQUÍMICA LTDA;3.02233-3;MAKI GR TECH;25351.238551/2009-29;3.2233.0088.002-0;PRODUTO DE VENDA LIVRE;07/2029;SACO + CAIXA DE PAPELAO;2 Ano(s);3207013 RATICIDA DE VENDA LIVRE;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1930555/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;DELAVAL LTDA;3.05569-4;DELLA-ACID;25351.632699/2013-22;3.5569.0005.001-6;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;02/2029;BOMBONA PLASTICA;24 Meses;3222029 DESINCRUSTANTE ÁCIDO;392 REG. SANEANTES - Novo Prazo de Validade de Produto;1743590/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;DELAVAL LTDA;3.05569-4;DELLA-ACID;25351.632699/2013-22;3.5569.0005.002-4;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;02/2029;GALAO PLASTICO;24 Meses;3222029 DESINCRUSTANTE ÁCIDO;392 REG. SANEANTES - Novo Prazo de Validade de Produto;1743590/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;DELAVAL LTDA;3.05569-4;DELLA-ACID;25351.632699/2013-22;3.5569.0005.003-2;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;02/2029;TAMBOR PLASTICO;24 Meses;3222029 DESINCRUSTANTE ÁCIDO;392 REG. SANEANTES - Novo Prazo de Validade de Produto;1743590/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;DETERLIMP PRODUTOS AUTOMOTIVOS LTDA -ME;3.03219-2;DETERGRILL DETERGENTE DESENGORDURANTE ALCALINO - DETERFORT;25351.075861/2021-25;3.3219.0024.001-4;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;FRASCO DE PLASTICO OPACO + CAIXA DE PAPELAO;24 Meses;3211042 DETERGENTE DESENGORDURANTE;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;DETERLIMP PRODUTOS AUTOMOTIVOS LTDA -ME;3.03219-2;DETERGRILL DETERGENTE DESENGORDURANTE ALCALINO - DETERFORT;25351.075861/2021-25;3.3219.0024.002-2;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;BOMBONA PLASTICA OPACA + CAIXA DE PAPELAO;24 Meses;3211042 DETERGENTE DESENGORDURANTE;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;DETERLIMP PRODUTOS AUTOMOTIVOS LTDA -ME;3.03219-2;DETERGRILL DETERGENTE DESENGORDURANTE ALCALINO - DETERFORT;25351.075861/2021-25;3.3219.0024.003-0;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;FRASCO DE PLASTICO OPACO;24 Meses;3211042 DETERGENTE DESENGORDURANTE;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;DIVERSEY BRASIL INDUSTRIA QUIMICA LTDA;3.02661-1;Emerel Plus;25351.655842/2021-87;3.2661.0300.001-3;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;EMEREL PLUS + FRASCO + CAIXA DE PAPELAO;24 Meses;3222021 LIMPADOR DE USO GERAL;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOLAB QUÍMICA LTDA;3.00053-9;ANIOSYME X3;25351.237067/2019-67;3.0053.0917.001-7;VENDA E EMPREGO:;08/2023;FRASCO DE PLASTICO TRANSPARENTE + CAIXA DE PAPELAO;24 Meses;3222020 DETERGENTE ENZIMÁTICO;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1700589/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOLAB QUÍMICA LTDA;3.00053-9;ANIOSYME X3;25351.237067/2019-67;3.0053.0917.002-5;VENDA E EMPREGO:;08/2023;GALAO + CAIXA DE PAPELAO;24 Meses;3222020 DETERGENTE ENZIMÁTICO;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1700589/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOLAB QUÍMICA LTDA;3.00053-9;STERANIOS 2%;25351.255926/2018-19;3.0053.0904.001-6;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;04/2022;GALAO PLASTICO + CAIXA DE PAPELAO;24 Meses;4300212 DESINFETANTE DE ALTO NÍVEL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1700673/21-1;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOLAB QUÍMICA LTDA;3.00053-9;LIQUID LAUNDRY BUILDER;25351.639474/2021-20;3.0053.0927.001-1;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;FRASCO + CAIXA DE PAPELAO;24 Meses;3222039 LAVA ROUPAS;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOLAB QUÍMICA LTDA;3.00053-9;LIQUID LAUNDRY BUILDER;25351.639474/2021-20;3.0053.0927.002-1;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;ACONDICIONAMENTO NAO PREVISTO NA TABELA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA;24 Meses;3222039 LAVA ROUPAS;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOLAB QUÍMICA LTDA;3.00053-9;LIQUID LAUNDRY BUILDER;25351.639474/2021-20;3.0053.0927.003-8;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;TAMBOR PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA;24 Meses;3222039 LAVA ROUPAS;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOLAB QUÍMICA LTDA;3.00053-9;LIQUID LAUNDRY BUILDER;25351.639474/2021-20;3.0053.0927.004-6;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;BOMBONA PLASTICA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA;24 Meses;3222039 LAVA ROUPAS;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOMASTER QUÍMICA INDÚSTRIA E COMÉRCIO LTDA;3.04145-2;MASTER RUST;25351.564123/2021-58;3.4145.0072.001-2;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;FRASCO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA;24 Meses;3222040 TIRA MANCHAS;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOMASTER QUÍMICA INDÚSTRIA E COMÉRCIO LTDA;3.04145-2;MASTER RUST;25351.564123/2021-58;3.4145.0072.002-0;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;GALAO PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA;24 Meses;3222040 TIRA MANCHAS;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOMASTER QUÍMICA INDÚSTRIA E COMÉRCIO LTDA;3.04145-2;MASTER RUST;25351.564123/2021-58;3.4145.0072.003-9;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;BOMBONA PLASTICA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA;24 Meses;3222040 TIRA MANCHAS;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOMASTER QUÍMICA INDÚSTRIA E COMÉRCIO LTDA;3.04145-2;MASTER RUST;25351.564123/2021-58;3.4145.0072.004-7;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;TAMBOR PLASTICO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA;24 Meses;3222040 TIRA MANCHAS;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOPER QUÍMICA LTDA;3.02154-0;ENZYFOUR;25351.661659/2013-28;3.2154.0014.001-1;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;03/2029;FRASCO + CAIXA DE PAPELAO;24 Meses;3222020 DETERGENTE ENZIMÁTICO;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1744932/21-2;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ECOPER QUÍMICA LTDA;3.02154-0;ENZYFOUR;25351.661659/2013-28;3.2154.0014.002-8;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;03/2029;BOMBONA PLASTICA + CAIXA DE PAPELAO;24 Meses;3222020 DETERGENTE ENZIMÁTICO;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1744932/21-2;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;ELFEN INDUSTRIA E COMERCIO LTDA - ME;3.05215-1;STP;25351.147499/2015-12;3.5215.0029.001-7;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;05/2025;GALAO PLASTICO + CAIXA DE PAPELAO;24 Meses;3203018 DETERGENTE PROFISSIONAL DESINCRUSTANTE ÁCIDO;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1961369/21-4;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;EXIMIA INDUSTRIAL EIRELI-ME;3.07087-1;ZLAV 02 LÍQUID ADITIVO ALCALINO;25351.474577/2020-57;3.7087.0008.001-1;PRODUTO DE USO PROFISSIONAL OU DE VENDA RESTRITA;07/2031;ZLAV 02 LÍQUID ADITIVO ALCALINO + BOMBONA PLASTICA OPACA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA;24 Meses;3222039 LAVA ROUPAS;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;"FERNANDO F ZWETSCH &amp;CIA LTDA ME";3.05232-9;ÁGUA SANITÁRIA ECO;25351.907638/2021-57;3.5232.0003.001-6;PRODUTO DE VENDA LIVRE;07/2031;GALÃO PLASTICA OPACA + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA;6 Meses;3103033 ÁGUA SANITÁRIA;30020 REG. SANEANTES - Registro de produtos saneantes;;
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;"FERNANDO F ZWETSCH &amp;CIA LTDA ME";3.05232-9;ÁGUA SANITÁRIA ECO;25351.907638/2021-57;3.5232.0003.002-4;PRODUTO DE VENDA LIVRE;07/2031;FRASCO DE PLASTICO OPACO + PRODUTO SOMENTE CONTEM EMBALAGEM PRIMARIA;6 Meses;3103033 ÁGUA SANITÁRIA;30020 REG. SANEANTES - Registro de produtos saneantes;;
